constellation,figure_id,order,hip,bsc,name,ra_deg,dec_deg,mag
ORI,1,1,27989,2061,Betelgeuse,88.792939,7.407064,0.42
ORI,1,2,24436,1713,Rigel,78.634467,-8.201639,0.13
