"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Her",1,19,88794,166014,6779,"","103Omi Her","",18.125708,28.762488,103.6269,-0.17,7.51,3.84,"B9.5V",-0.018,"Omi",,"Her","north",61.237511999999995
"Hor",1,1,13884,18866,909,"","Bet Hor","",2.979939,-64.071284,90.3342,22.96,5.39,4.98,"A5III",0.126,"Bet",,"Hor","south",25.928715999999994
"Hor",1,2,14240,19319,934,"","Mu  Hor","",3.060239,-59.737775,43.4028,-72.81,-63.89,5.12,"F0IV",0.349,"Mu",,"Hor","south",30.262225
"Hor",1,3,12484,16920,802,"","Zet Hor","",2.677666,-54.549911,49.0918,32.76,5.24,5.21,"F4IV",0.411,"Zet",,"Hor","south",35.450089
"Hor",1,4,12225,16555,778,"","Eta Hor","",2.623425,-52.543086,45.5581,111.29,1.05,5.3,"A6V",0.289,"Eta",,"Hor","south",37.456914
"Hor",1,5,12653,17051,810,"Gl 108","Iot Hor","",2.709265,-50.800294,17.1674,333.73,219.21,5.4,"G3IV",0.561,"Iot",,"Hor","south",39.199706
"Hor",1,6,13502,18242,868,"","","",2.897981,-49.889646,210.084,131.21,35.74,7.22,"M7e",1.044,"",,"Hor","south",40.110354
"Hor",1,7,19747,26967,1326,"","Alp Hor","",4.233363,-42.294368,35.2609,41.89,-203.65,3.85,"K1III",1.085,"Alp",,"Hor","south",47.705632
"Hor",1,8,19515,26612,1302,"","Del Hor","",4.180708,-41.993573,54.8246,199.09,69.1,4.93,"A9V",0.334,"Del",,"Hor","south",48.006427
"Hya",1,1,43234,75137,3492,"","13Rho Hya","",8.807214,5.837812,108.5776,-17.51,-29.79,4.35,"A0Vn",-0.044,"Rho",,"Hya","north",84.162188
"Hya",1,2,43109,74874,3482,"","11Eps Hya","Ashlesha",8.779587,6.418809,39.6354,-231.04,-40.17,3.38,"G0III-IV",0.685,"Eps",,"Hya","north",83.581191
"Hya",1,3,42313,73262,3410,"","4Del Hya","",8.627602,5.703782,49.1642,-70.27,-6.99,4.14,"A1Vnn",0.003,"Del",,"Hya","north",84.296218
"Hya",1,4,42402,73471,3418,"","5Sig Hya","Minchir",8.645955,3.341435,114.2857,-19.03,-16.29,4.45,"K2III",1.216,"Sig",,"Hya","north",86.658565
"Hya",1,5,42799,74280,3454,"","7Eta Hya","",8.72041,3.398662,179.8561,-19.14,-1.29,4.3,"B3V...",-0.192,"Eta",,"Hya","north",86.601338
"Hya",1,6,43234,75137,3492,"","13Rho Hya","",8.807214,5.837812,108.5776,-17.51,-29.79,4.35,"A0Vn",-0.044,"Rho",,"Hya","north",84.162188
"Hya",1,7,43813,76294,3547,"","16Zet Hya","",8.92323,5.945563,51.2558,-99.76,14.65,3.11,"G8III-IV",0.978,"Zet",,"Hya","north",84.05443700000001
"Hya",1,8,45336,79469,3665,"","22The Hya","",9.239405,2.31428,34.7947,112.57,-306.07,3.89,"B9.5V",-0.06,"The",,"Hya","north",87.68572
"Hya",1,9,47431,83618,3845,"","35Iot Hya","Ukdah",9.664267,-1.14281,80.7103,47.81,-62.92,3.9,"K3IIIvar",1.313,"Iot",,"Hya","south",88.85719
"Hya",1,10,46390,81797,3748,"","30Alp Hya","Alphard",9.45979,-8.658603,55.2792,-14.49,33.25,1.99,"K3III",1.44,"Alp",,"Hya","south",81.341397
"Hya",1,11,48356,85444,3903,"","39Ups1Hya","Zhang",9.85797,-14.846603,80.9061,18.68,-21.88,4.11,"G6/G8III",0.918,"Ups-1",,"Hya","south",75.153397
"Hya",1,12,49841,88284,3994,"","41Lam Hya","",10.176467,-12.354083,34.5066,-200.33,-100.28,3.61,"K0III",1.007,"Lam",,"Hya","south",77.645917
"Hya",1,13,51069,90432,4094,"","42Mu  Hya","",10.434842,-16.83629,71.7875,-128.51,-80.06,3.83,"K4III",1.456,"Mu",,"Hya","south",73.16371
"Hya",1,14,52943,93813,4232,"","Nu  Hya","",10.827079,-16.193648,44.0723,92.77,199.02,3.11,"K0/K1III",1.232,"Nu",,"Hya","south",73.806352
"Hya",1,15,56343,100407,4450,"","Xi  Hya","",11.550038,-31.857625,39.7456,-209.09,-41.6,3.54,"G8III",0.947,"Xi",,"Hya","south",58.142375
"Hya",1,16,57936,103192,4552,"","Bet Hya","",11.881813,-33.908124,94.9668,-58.02,2.4,4.29,"Ap Si",-0.1,"Bet",,"Hya","south",56.091876
"Hya",1,17,64962,115659,5020,"","46Gam Hya","",13.315359,-23.171512,41.0341,68.41,-41.09,2.99,"G8III",0.92,"Gam",,"Hya","south",66.828488
"Hya",1,18,68895,123123,5287,"Gl 538.1","49Pi  Hya","",14.106193,-26.682361,30.9598,43.05,-140.82,3.25,"K2III",1.091,"Pi",,"Hya","south",63.317639
"Hyi",1,1,9236,12311,591,"Gl 83","Alp Hyi","",1.979451,-61.569859,22.0119,262.54,26.88,2.86,"F0V",0.29,"Alp",,"Hyi","south",28.430141
"Hyi",1,2,12394,16978,806,"","Eps Hyi","",2.659799,-68.266946,46.5549,87.4,0.56,4.12,"B9III",-0.061,"Eps",,"Hyi","south",21.733053999999996
"Hyi",1,3,17678,24512,1208,"","Gam Hyi","",3.787295,-74.238962,65.6168,51.07,115.27,3.26,"M2III",1.59,"Gam",,"Hyi","south",15.761038
"Hyi",1,4,2021,2151,98,"Gl 19","Bet Hyi","",0.427916,-77.254247,7.4588,2220.12,324.37,2.82,"G2IV",0.618,"Bet",,"Hyi","south",12.745752999999993
"Hyi",1,5,9236,12311,591,"Gl 83","Alp Hyi","",1.979451,-61.569859,22.0119,262.54,26.88,2.86,"F0V",0.29,"Alp",,"Hyi","south",28.430141
"Ind",1,1,101772,196171,7869,"Gl 794.1","Alp Ind","",20.626116,-47.291502,30.1477,49.2,66.07,3.11,"K0III",0.998,"Alp",,"Ind","south",42.708498
"Ind",1,2,105319,202730,8140,"GJ 9733A","The Ind","",21.331096,-53.449427,30.2847,107.37,-67.12,4.39,"A5V",0.191,"The",,"Ind","south",36.550573
"Ind",1,3,108431,208450,8368,"","Del Ind","",21.965293,-54.992575,57.6701,43,-3.67,4.4,"F0IV",0.297,"Del",,"Ind","south",35.007425
"Ind",1,4,108870,209100,8387,"Gl 845","Eps Ind","",22.055486,-56.785977,3.6224,3959.97,-2538.84,4.69,"K5V",1.056,"Eps",,"Ind","south",33.214023
"Ind",1,5,108431,208450,8368,"","Del Ind","",21.965293,-54.992575,57.6701,43,-3.67,4.4,"F0IV",0.297,"Del",,"Ind","south",35.007425
"Ind",1,6,105319,202730,8140,"GJ 9733A","The Ind","",21.331096,-53.449427,30.2847,107.37,-67.12,4.39,"A5V",0.191,"The",,"Ind","south",36.550573
"Ind",1,7,104085,200365,8055,"","Mu  Ind","",21.08729,-54.727042,112.1076,16.51,-37.55,5.17,"K2III",1.201,"Mu",,"Ind","south",35.272958
"Ind",1,8,103227,198700,7986,"","Bet Ind","",20.913498,-58.454155,187.6173,21.06,-24.75,3.67,"K0III",1.25,"Bet",,"Ind","south",31.545845
"LMi",1,1,53229,94264,4247,"","46    LMi","Praecipua",10.888526,34.214871,29.0867,92.47,-286.06,3.79,"K0III-IV",1.04,"",,"LMi","north",55.785129
"LMi",1,2,51233,90537,4100,"","31Bet LMi","",10.464727,36.707212,47.1921,-127.52,-109.62,4.2,"G8III-IV",0.908,"Bet",,"LMi","north",53.292788
"LMi",1,3,49593,87696,3974,"Gl 378.3","21    LMi","",10.123821,35.244693,28.2406,50.97,0.64,4.49,"A7V",0.19,"",,"LMi","north",54.755307
"Lac",1,1,109937,211388,8498,"","1    Lac","",22.26616,37.748737,190.4762,8.74,0.76,4.14,"K3III",1.447,"",,"Lac","north",52.251263
"Lac",1,2,109754,211073,8485,"","","",22.231312,39.714927,147.929,37.65,15.55,4.5,"K3III",1.385,"",,"Lac","north",50.285073
"Lac",1,3,111104,213420,8579,"","6    Lac","",22.508128,43.123376,526.3158,-2.05,-5.76,4.52,"B2IV",-0.086,"",,"Lac","north",46.876624
"Lac",1,4,111944,214868,8632,"","11    Lac","",22.675233,44.276305,102.0408,94.18,10,4.5,"K3III",1.318,"",,"Lac","north",45.723695
"Lac",1,5,111104,213420,8579,"","6    Lac","",22.508128,43.123376,526.3158,-2.05,-5.76,4.52,"B2IV",-0.086,"",,"Lac","north",46.876624
"Lac",1,6,110351,212120,8523,"","2    Lac","",22.350428,46.536569,170.068,21.72,1.92,4.55,"B6V",-0.1,"",,"Lac","north",43.463431
"Lac",1,7,111104,213420,8579,"","6    Lac","",22.508128,43.123376,526.3158,-2.05,-5.76,4.52,"B2IV",-0.086,"",,"Lac","north",46.876624
"Lac",1,8,111022,213310,8572,"","5    Lac","",22.492173,47.706887,505.0505,-0.6,-3.37,4.34,"M0II",1.679,"",,"Lac","north",42.293113
"Lac",1,9,110609,212593,8541,"","4    Lac","",22.408609,49.476392,689.6552,-5.12,-3.37,4.55,"B9Iab",0.092,"",,"Lac","north",40.523608
"Lac",1,10,110538,212496,8538,"","3Bet Lac","",22.392675,52.229046,52.1105,-13.56,-186.37,4.42,"G9III",1.015,"Bet",,"Lac","north",37.770954
"Lac",1,11,111169,213558,8585,"","7Alp Lac","Stellio",22.521515,50.282491,31.4564,137.22,17.15,3.76,"A1V",0.031,"Alp",,"Lac","north",39.717509
"Lac",1,12,111022,213310,8572,"","5    Lac","",22.492173,47.706887,505.0505,-0.6,-3.37,4.34,"M0II",1.679,"",,"Lac","north",42.293113
"Leo",1,1,47908,84441,3873,"","17Eps Leo","Ras Elased Australis",9.764188,23.774255,75.643,-46.09,-9.57,2.97,"G0II",0.808,"Eps",,"Leo","north",66.225745
"Leo",1,2,48455,85503,3905,"","24Mu  Leo","Rasalas",9.879398,26.006951,38.0518,-216.29,-54.92,3.88,"K0III",1.222,"Mu",,"Leo","north",63.993049
"Leo",1,3,50335,89025,4031,"","36Zet Leo","Adhafera",10.278171,23.417311,84.0336,19.84,-7.3,3.43,"F0III",0.307,"Zet",,"Leo","north",66.582689
"Leo",1,5,49583,87737,3975,"","30Eta Leo","",10.122209,16.762664,389.1051,-1.94,-0.53,3.48,"A0Ib",-0.031,"Eta",,"Leo","north",73.237336
"Leo",1,6,49669,87901,3982,"","32Alp Leo","Regulus",10.139532,11.967207,24.3132,-249.4,4.91,1.36,"B7V",-0.087,"Alp",,"Leo","north",78.032793
"Leo",1,7,47508,83808,3852,"","14Omi Leo","Subra",9.685843,9.892308,39.9521,-143.67,-37.45,3.52,"A5V+...",0.516,"Omi",,"Leo","north",80.107692
"Leo",1,8,49669,87901,3982,"","32Alp Leo","Regulus",10.139532,11.967207,24.3132,-249.4,4.91,1.36,"B7V",-0.087,"Alp",,"Leo","north",78.032793
"Leo",1,9,54879,97633,4359,"","70The Leo","Chertan",11.237335,15.42957,50.6073,-59.01,-79.37,3.33,"A2V",-0.003,"The",,"Leo","north",74.57043
"Leo",1,10,55642,99028,4399,"","78Iot Leo","",11.398736,10.529509,23.6742,140.75,-77.8,4,"F2IV SB",0.423,"Iot",,"Leo","north",79.470491
"Leo",1,11,55434,98664,4386,"","77Sig Leo","",11.352276,6.029322,67.4764,-91.76,-12.83,4.05,"B9.5Vs",-0.058,"Sig",,"Leo","north",83.970678
"Leo",1,12,55642,99028,4399,"","78Iot Leo","",11.398736,10.529509,23.6742,140.75,-77.8,4,"F2IV SB",0.423,"Iot",,"Leo","north",79.470491
"Leo",1,13,54879,97633,4359,"","70The Leo","Chertan",11.237335,15.42957,50.6073,-59.01,-79.37,3.33,"A2V",-0.003,"The",,"Leo","north",74.57043
"Leo",1,14,57632,102647,4534,"Gl 448","94Bet Leo","Denebola",11.817663,14.57206,10.9999,-499.02,-113.78,2.14,"A3Vvar",0.09,"Bet",,"Leo","north",75.42794
"Leo",1,15,54872,97603,4357,"Gl 419","68Del Leo","Zosma",11.235138,20.523717,17.9147,143.31,-130.43,2.56,"A4V",0.128,"Del",,"Leo","north",69.476283
"Lep",1,1,23685,32887,1654,"","2Eps Lep","",5.091018,-22.371032,65.4022,19.27,-72.35,3.19,"K4III",1.46,"Eps",,"Lep","south",67.628968
"Lep",1,2,25606,36079,1829,"","9Bet Lep","Nihal",5.470756,-20.759441,49.1642,-5.03,-85.92,2.81,"G5II",0.807,"Bet",,"Lep","south",69.240559
"Lep",1,3,25985,36673,1865,"","11Alp Lep","Arneb",5.545504,-17.822289,680.2721,3.27,1.54,2.58,"F0Ib",0.211,"Alp",,"Lep","south",72.177711
"Lep",1,4,24305,33904,1702,"","5Mu  Lep","",5.215528,-16.205468,57.0125,45.66,-16.13,3.29,"B9IV: HgMn",-0.11,"Mu",,"Lep","south",73.794532
"Lep",1,5,25985,36673,1865,"","11Alp Lep","Arneb",5.545504,-17.822289,680.2721,3.27,1.54,2.58,"F0Ib",0.211,"Alp",,"Lep","south",72.177711
"Lep",1,6,27288,38678,1998,"Gl 217.1","14Zet Lep","",5.782595,-14.82195,21.6076,-14.84,-1.18,3.55,"A2Vann",0.104,"Zet",,"Lep","south",75.17805
"Lep",1,7,28103,40136,2085,"Gl 225","16Eta Lep","",5.940082,-14.1677,14.8787,-42.23,139.02,3.71,"F1V",0.337,"Eta",,"Lep","south",75.8323
"Lib",1,1,77853,142198,5908,"","46The Lib","",15.897093,-16.729293,51.6529,100.12,135.27,4.13,"K0III",1.003,"The",,"Lib","south",73.270707
"Lib",1,2,76333,138905,5787,"GJ 3912","38Gam Lib","Zubenelhakrabi",15.592105,-14.789537,50.025,65.67,6.93,3.91,"K0III",1.007,"Gam",,"Lib","south",75.210463
"Lib",1,3,74785,135742,5685,"","27Bet Lib","Zubeneschamali",15.283449,-9.382917,56.7537,-96.39,-20.76,2.61,"B8V",-0.071,"Bet",,"Lib","south",80.617083
"Lib",1,4,72622,130841,5531,"Gl 564.1","9Alp2Lib","Zubenelgenubi",14.847977,-16.041778,23.2396,-105.69,-69,2.75,"A3IV",0.147,"Alp-2",,"Lib","south",73.958222
"Lib",1,5,73714,133216,5603,"","20Sig Lib","Brachium",15.067839,-25.281965,88.4173,-71.85,-44.69,3.25,"M3/M4III",1.674,"Sig",,"Lib","south",64.718035
"Lib",1,6,74785,135742,5685,"","27Bet Lib","Zubeneschamali",15.283449,-9.382917,56.7537,-96.39,-20.76,2.61,"B8V",-0.071,"Bet",,"Lib","south",80.617083
"Lib",1,7,73714,133216,5603,"","20Sig Lib","Brachium",15.067839,-25.281965,88.4173,-71.85,-44.69,3.25,"M3/M4III",1.674,"Sig",,"Lib","south",64.718035
"Lib",1,8,76470,139063,5794,"","39Ups Lib","",15.61707,-28.135079,68.5871,-13.26,-3.48,3.6,"K3III",1.361,"Ups",,"Lib","south",61.864920999999995
"Lib",1,9,76600,139365,5812,"","40Tau Lib","",15.64427,-29.777754,112.4859,-22.1,-26.54,3.66,"B2.5V",-0.177,"Tau",,"Lib","south",60.222246
"Lup",1,1,78918,144294,5987,"","The Lup","",16.109874,-36.802288,127.0648,-15.84,-31.06,4.22,"B2.5Vn",-0.184,"The",,"Lup","south",53.197712
"Lup",1,2,78384,143118,5948,"","Eta Lup","",16.002036,-38.396706,135.5014,-16.58,-27.06,3.42,"B2.5IV",-0.206,"Eta",,"Lup","south",51.603294
"Lup",1,3,76297,138690,5776,"","Gam Lup","",15.585681,-41.166757,129.0323,-16.05,-25.52,2.8,"B2IV",-0.216,"Gam",,"Lup","south",48.833243
"Lup",1,4,75264,136504,5708,"","Eps Lup","",15.378021,-44.689622,156.9859,-20.25,-20.13,3.37,"B2IV-V",-0.191,"Eps",,"Lup","south",45.310378
"Lup",1,5,74376,134481,5646,"","Kap1Lup","",15.198918,-48.737819,55.1876,-96.52,-47.97,3.88,"B9V",-0.029,"Kap-1",,"Lup","south",41.262181
"Lup",1,6,74395,134505,5649,"GJ 9512A","Zet Lup","",15.20476,-52.099247,35.9712,-113.94,-71,3.41,"G8III",0.918,"Zet",,"Lup","south",37.900753
"Lup",1,7,71860,129056,5469,"","Alp Lup","Uridim",14.698823,-47.3882,142.4501,-21.15,-24.22,2.3,"B1.5III",-0.154,"Alp",,"Lup","south",42.6118
"Lup",1,8,73273,132058,5571,"","Bet Lup","",14.975537,-43.13396,117.3709,-34.06,-38.3,2.68,"B2III",-0.184,"Bet",,"Lup","south",46.86604
"Lup",1,9,75141,136298,5695,"","Del Lup","",15.356201,-40.647518,271.0027,-19.11,-24.05,3.22,"B1.5IV",-0.227,"Del",,"Lup","south",49.352482
"Lup",1,10,76297,138690,5776,"","Gam Lup","",15.585681,-41.166757,129.0323,-16.05,-25.52,2.8,"B2IV",-0.216,"Gam",,"Lup","south",48.833243
"Lup",1,11,75141,136298,5695,"","Del Lup","",15.356201,-40.647518,271.0027,-19.11,-24.05,3.22,"B1.5IV",-0.227,"Del",,"Lup","south",49.352482
"Lup",1,12,75177,136422,5705,"","Phi1Lup","",15.36344,-36.261376,84.317,-91.85,-86.03,3.57,"K5III",1.534,"Phi-1",,"Lup","south",53.738624
"Lup",1,13,77634,141556,5883,"","5Chi Lup","",15.849316,-33.627165,59.8444,-5.92,-24.91,3.97,"B9.5III-IV",-0.045,"Chi",,"Lup","south",56.372835
"Lyn",1,1,45860,80493,3705,"","40Alp Lyn","",9.350925,34.392562,62.2665,-222.8,14.78,3.14,"M0IIIvar",1.55,"Alp",,"Lyn","north",55.607438
"Lyn",1,2,45688,80081,3690,"","38    Lyn","",9.314069,36.802597,38.2702,-32.61,-123.78,3.82,"A1V",0.066,"",,"Lyn","north",53.197403
"Lyn",1,3,44700,77912,3612,"","","",9.108825,38.452215,250.6266,-28.37,-14.34,4.56,"G8Ib-II",1.037,"",,"Lyn","north",51.547785
"Lyn",1,4,44248,76943,3579,"Gl 332A","","",9.010685,41.782911,16.0694,-487.67,-219.29,3.96,"F5V",0.463,"",,"Lyn","north",48.217089
"Lyn",1,5,41075,70272,3275,"","31    Lyn","Alsciaukat",8.380588,43.188131,117.2333,-25.62,-99.44,4.25,"K5III",1.55,"",,"Lyn","north",46.811869
"Lyn",1,6,36145,58142,2818,"","21    Lyn","",7.445237,49.211527,83.8926,-10.79,-48.57,4.61,"A1V",-0.001,"",,"Lyn","north",40.788473
"Lyn",1,7,33449,50522,2560,"","15    Lyn","",6.954612,58.422759,54.6747,6.58,-123.53,4.35,"G5III-IV",0.85,"",,"Lyn","north",31.577241
"Lyn",1,8,30060,43378,2238,"","2    Lyn","",6.327052,59.010964,48.0077,-3.51,24.43,4.44,"A2Vs",0.032,"",,"Lyn","north",30.989036
"Lyr",1,1,91262,172167,7001,"Gl 721","3Alp Lyr","Vega",18.61564,38.783692,7.6787,201.02,287.46,0.03,"A0Vvar",-0.001,"Alp",,"Lyr","north",51.216308
"Lyr",1,2,91971,173648,7056,"","6Zet1Lyr","",18.746209,37.605115,47.8698,29.26,26.57,4.34,"Am",0.192,"Zet-1",,"Lyr","north",52.394885
"Lyr",1,3,92420,174638,7106,"","10Bet Lyr","Sheliak",18.834665,33.362667,294.9853,1.1,-4.46,3.52,"A8:V comp SB",0.003,"Bet",,"Lyr","north",56.637333
"Lyr",1,4,93194,176437,7178,"","14Gam Lyr","Sulafat",18.982395,32.689557,190.1141,-2.76,1.77,3.25,"B9III",-0.049,"Gam",,"Lyr","north",57.310443
"Lyr",1,5,92791,175588,7139,"","12Del2Lyr","",18.908412,36.898613,225.7336,-6.73,3.26,4.22,"M4IIvar",1.575,"Del-2",,"Lyr","north",53.101387
"Lyr",1,6,91971,173648,7056,"","6Zet1Lyr","",18.746209,37.605115,47.8698,29.26,26.57,4.34,"Am",0.192,"Zet-1",,"Lyr","north",52.394885
"Men",1,1,29271,43834,2261,"Gl 231","Alp Men","Hoerikwaggo",6.170632,-74.753045,10.1978,121.84,-212.82,5.08,"G5V",0.714,"Alp",,"Men","south",15.246955
"Men",1,2,25918,37763,1953,"","Gam Men","",5.531318,-76.340964,31.3578,143.2,287.75,5.18,"K4III",1.13,"Gam",,"Men","south",13.659036
"Men",1,3,22871,32440,1629,"","Eta Men","",4.919765,-74.936852,204.918,27.6,61.88,5.47,"K6III",1.518,"Eta",,"Men","south",15.063147999999998
"Men",1,4,23467,33285,1677,"","Bet Men","",5.045279,-71.3143,243.309,-3.54,10.68,5.3,"G8III",0.996,"Bet",,"Men","south",18.685699999999997
"Mic",1,1,105382,203006,8151,"","The1Mic","",21.346008,-40.809465,60.4595,76.18,17.66,4.8,"A2p",0.029,"The-1",,"Mic","south",49.190535
"Mic",1,2,105140,202627,8135,"","Eps Mic","",21.298966,-32.172539,55.8659,55.46,-22.12,4.71,"A0V",0.07,"Eps",,"Mic","south",57.827461
"Mic",1,3,103738,199951,8039,"","Gam Mic","",21.021517,-32.257767,70.2247,-2.09,-0.19,4.67,"G8III",0.89,"Gam",,"Mic","south",57.742233
"Mic",1,4,102831,198232,7965,"","Alp Mic","",20.8328,-33.779722,116.0093,3.71,-20.19,4.89,"G8III",1.004,"Alp",,"Mic","south",56.220278
"Mon",1,1,31216,46300,2385,"","13    Mon","",6.548396,7.332965,100000,-3.89,-5.8,4.47,"A0Ib",0.023,"",,"Mon","north",82.667035
"Mon",1,2,30419,44769,2298,"","8Eps Mon","",6.396135,4.592865,37.4953,-20.88,10.75,4.39,"A5IV",0.215,"Eps",,"Mon","north",85.407135
"Mon",1,3,32578,49293,2506,"","18    Mon","",6.79768,2.412159,112.8668,-12.97,-12.36,4.48,"K0III",1.099,"",,"Mon","north",87.587841
"Mon",1,4,34769,55185,2714,"","22Del Mon","",7.197739,-0.492764,117.7856,-0.22,6.68,4.15,"A2V",-0.005,"Del",,"Mon","south",89.507236
"Mon",1,5,30867,45725,2356,"","11Bet Mon","",6.480297,-7.033062,207.4689,-7,-4.97,3.76,"B3Ve",-0.113,"Bet",,"Mon","south",82.966938
"Mon",1,6,29651,43232,2227,"","5Gam Mon","",6.247592,-6.274776,152.6718,-6.18,-20.06,3.99,"K3III",1.319,"Gam",,"Mon","south",83.725224
"Mon",1,7,30867,45725,2356,"","11Bet Mon","",6.480297,-7.033062,207.4689,-7,-4.97,3.76,"B3Ve",-0.113,"Bet",,"Mon","south",82.966938
"Mon",1,8,34769,55185,2714,"","22Del Mon","",7.197739,-0.492764,117.7856,-0.22,6.68,4.15,"A2V",-0.005,"Del",,"Mon","south",89.507236
"Mon",1,9,37447,61935,2970,"","26Alp Mon","",7.687454,-9.551131,45.3104,-74.8,-19.64,3.94,"K0III",1.022,"Alp",,"Mon","south",80.448869
"Mon",1,10,39863,67594,3188,"","29Zet Mon","",8.143236,-2.983786,324.6753,-16.79,-3.89,4.36,"G2Ib",0.97,"Zet",,"Mon","south",87.016214
"Mus",1,1,62322,110879,4844,"","Bet Mus","",12.771346,-68.108119,104.712,-40.4,-10.32,3.04,"B2V",-0.178,"Bet",,"Mus","south",21.891880999999998
"Mus",1,2,61585,109668,4798,"","Alp Mus","",12.619739,-69.135564,96.7118,-39.87,-12.44,2.69,"B2IV-V",-0.176,"Alp",,"Mus","south",20.864435999999998
"Mus",1,3,63613,112985,4923,"","Del Mus","",13.037759,-71.548855,27.8707,263.58,-23.28,3.61,"K2III",1.19,"Del",,"Mus","south",18.451144999999997
"Mus",1,4,61585,109668,4798,"","Alp Mus","",12.619739,-69.135564,96.7118,-39.87,-12.44,2.69,"B2IV-V",-0.176,"Alp",,"Mus","south",20.864435999999998
"Mus",1,5,61199,109026,4773,"","Gam Mus","",12.541134,-72.132988,99.6016,-50.59,-5.16,3.84,"B5V",-0.157,"Gam",,"Mus","south",17.867012000000003
"Mus",1,6,61585,109668,4798,"","Alp Mus","",12.619739,-69.135564,96.7118,-39.87,-12.44,2.69,"B2IV-V",-0.176,"Alp",,"Mus","south",20.864435999999998
"Mus",1,7,59929,106849,4671,"","Eps Mus","",12.292917,-67.960736,92.4214,-231.26,-26.37,4.06,"M5III",1.603,"Eps",,"Mus","south",22.039264000000003
"Mus",1,8,57363,102249,4520,"","Lam Mus","",11.760141,-66.728763,38.9864,-100.42,33.21,3.63,"A7III",0.16,"Lam",,"Mus","south",23.271237
"Nor",1,1,80582,147971,6115,"","Eps Nor","",16.453067,-47.554786,162.6016,-13.72,-20.63,4.46,"B4V",-0.07,"Eps",,"Nor","south",42.445214
"Nor",1,2,80000,146686,6072,"GJ 9554","Gam2Nor","",16.330687,-50.155508,39.4789,-159.36,-52.84,4.01,"G8III",1.08,"Gam-2",,"Nor","south",39.844492
"Nor",1,3,78639,143546,5962,"","Eta Nor","",16.053579,-49.229695,67.2948,41.18,10.39,4.65,"G8III",0.902,"Eta",,"Nor","south",40.770305
"Oct",1,1,112405,214846,8630,"","Bet Oct","",22.767692,-81.381615,45.7666,-55.35,0.88,4.13,"A9IV/V",0.208,"Bet",,"Oct","south",8.618385000000004
"Oct",1,2,70638,124882,5339,"","Del Oct","",14.448801,-83.667884,91.659,-95.79,-12.91,4.31,"K2III",1.3,"Del",,"Oct","south",6.332115999999999
"Oct",1,3,107089,205478,8254,"Gl 835.1","Nu  Oct","",21.691253,-77.390046,21.1999,64.83,-240.38,3.73,"K0III",1.008,"Nu",,"Oct","south",12.609954000000002
"Oct",1,4,112405,214846,8630,"","Bet Oct","",22.767692,-81.381615,45.7666,-55.35,0.88,4.13,"A9IV/V",0.208,"Bet",,"Oct","south",8.618385000000004
"Oph",1,1,86032,159561,6556,"Gl 681","55Alp Oph","Rasalhague",17.582241,12.560035,14.8965,110.08,-222.61,2.08,"A5III",0.155,"Alp",,"Oph","north",77.439965
"Oph",1,2,83000,153210,6299,"","27Kap Oph","",16.961139,9.375033,28.0426,-293.03,-9.7,3.19,"K2IIIvar",1.16,"Kap",,"Oph","north",80.624967
"Oph",1,3,80883,148857,6149,"","10Lam Oph","Marfik",16.515229,1.983923,53.0786,-31.37,-73,3.82,"A2V",0.022,"Lam",,"Oph","north",88.016077
"Oph",1,4,79593,146051,6056,"","1Del Oph","Yed Prior",16.239094,-3.694323,52.4659,-45.83,-142.91,2.73,"M1III",1.584,"Del",,"Oph","south",86.305677
"Oph",1,5,79882,146791,6075,"GJ 3949","2Eps Oph","Yed Posterior",16.305358,-4.692511,32.6371,82.39,40.08,3.23,"G8III",0.966,"Eps",,"Oph","south",85.307489
"Oph",1,6,81377,149757,6175,"","13Zet Oph","",16.619316,-10.56709,112.2334,13.07,25.44,2.54,"O9.5V",0.038,"Zet",,"Oph","south",79.43290999999999
"Oph",1,7,84012,155125,6378,"Gl 656.1A","35Eta Oph","Sabik",17.172968,-15.72491,27.0929,41.16,97.65,2.43,"A2.5Va",0.059,"Eta",,"Oph","south",74.27509
"Oph",1,8,86742,161096,6603,"","60Bet Oph","Cebalrai",17.724543,4.567303,25.0941,-40.67,158.8,2.76,"K2III",1.168,"Bet",,"Oph","north",85.432697
"Oph",1,9,86032,159561,6556,"Gl 681","55Alp Oph","Rasalhague",17.582241,12.560035,14.8965,110.08,-222.61,2.08,"A5III",0.155,"Alp",,"Oph","north",77.439965
"Ori",1,1,26727,37742,1948,"","50Zet Ori","Alnitak",5.679313,-1.942572,225.7336,3.99,2.54,1.74,"O9.5Ib SB",-0.199,"Zet",,"Ori","south",88.057428
"Ori",1,2,27366,38771,2004,"","53Kap Ori","Saiph",5.795941,-9.669605,198.4127,1.55,-1.2,2.07,"B0.5Iavar",-0.168,"Kap",,"Ori","south",80.330395
"Ori",1,3,24436,34085,1713,"","19Bet Ori","Rigel",5.242298,-8.20164,264.5503,1.87,-0.56,0.18,"B8Ia",-0.03,"Bet",,"Ori","south",81.79836
"Ori",1,4,25930,36486,1852,"","34Del Ori","Mintaka",5.533445,-0.299092,212.3142,1.67,0.56,2.25,"O9.5II",-0.175,"Del",,"Ori","south",89.700908
