"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Del",1,5,102281,197461,7928,"","11Del Del","",20.724315,15.074581,68.4463,-19.61,-41.74,4.43,"A7IIIp d Del",0.302,"Del",,"Del","north",74.925419
"Del",1,6,101769,196524,7882,"","6Bet Del","Rotanev",20.625816,14.595087,30.931,118.28,-47.65,3.64,"F5IV",0.425,"Bet",,"Del","north",75.404913
"Dor",1,1,19893,27290,1338,"Gl 167.1","Gam Dor","",4.267097,-51.486648,20.4625,100.57,184.23,4.26,"F4III",0.312,"Gam",,"Dor","south",38.513352
"Dor",1,2,21281,29305,1465,"","Alp Dor","",4.566598,-55.044975,51.7063,58.06,12.73,3.3,"A0V:",-0.079,"Alp",,"Dor","south",34.955025
"Dor",1,3,23693,33262,1674,"Gl 189","Zet Dor","",5.091853,-57.472704,11.6455,-31.87,117.42,4.71,"F7V",0.526,"Zet",,"Dor","south",32.527296
"Dor",1,4,26069,37350,1922,"","Bet Dor","",5.560421,-62.489825,308.642,1.06,12.56,3.76,"F6Ia",0.64,"Bet",,"Dor","south",27.510174999999997
"Dor",1,5,27100,39014,2015,"","Del Dor","",5.746223,-65.735526,45.8716,-28.38,6.12,4.34,"A7V",0.217,"Del",,"Dor","south",24.264474000000007
"Dor",1,6,26069,37350,1922,"","Bet Dor","",5.560421,-62.489825,308.642,1.06,12.56,3.76,"F6Ia",0.64,"Bet",,"Dor","south",27.510174999999997
"Dor",1,7,27890,40409,2102,"Gl 224.1","","",5.901658,-63.089627,26.2467,120.11,573.43,4.65,"K1III/IV",1.022,"",,"Dor","south",26.910373
"Dra",1,1,87585,163588,6688,"","32Xi  Dra","Grumium",17.892134,56.872643,34.5066,93.65,78.44,3.73,"K2III",1.177,"Xi",,"Dra","north",33.127357
"Dra",1,2,87833,164058,6705,"","33Gam Dra","Eltanin",17.943437,51.488895,47.3037,-8.52,-23.05,2.24,"K5III",1.521,"Gam",,"Dra","north",38.511105
"Dra",1,3,85670,159181,6536,"","23Bet Dra","Rastaban",17.507213,52.301387,116.5501,-15.59,11.57,2.79,"G2II",0.954,"Bet",,"Dra","north",37.698613
"Dra",1,4,85819,159541,6554,"","24Nu 1Dra","",17.536251,55.184243,30.248,148.53,54.24,4.89,"Am...",0.251,"Nu-1",,"Dra","north",34.815757
"Dra",1,5,87585,163588,6688,"","32Xi  Dra","Grumium",17.892134,56.872643,34.5066,93.65,78.44,3.73,"K2III",1.177,"Xi",,"Dra","north",33.127357
"Dra",1,6,94376,180711,7310,"","57Del Dra","Altais",19.209225,67.661541,29.8686,94.49,92.3,3.07,"G9III",0.99,"Del",,"Dra","north",22.338459
"Dra",1,7,97433,188119,7582,"","63Eps Dra","",19.80285,70.26793,45.3721,80.18,39.02,3.84,"G8III",0.888,"Eps",,"Dra","north",19.732069999999993
"Dra",1,8,89937,170153,6927,"Gl 713A","44Chi Dra","",18.350736,72.732843,8.0574,531.08,-351.59,3.55,"F7Vvar",0.489,"Chi",,"Dra","north",17.267156999999997
"Dra",1,9,86614,162003,6636,"Gl 694.1A","31Psi1Dra","Dziban",17.698978,72.148843,22.8363,26.6,-269.77,4.57,"F5IV-V",0.434,"Psi-1",,"Dra","north",17.851157
"Dra",1,10,83895,155763,6396,"","22Zet Dra","Aldhibah",17.146448,65.714683,100.7049,-20.76,19.15,3.17,"B6III",-0.12,"Zet",,"Dra","north",24.285317000000006
"Dra",1,11,80331,148387,6132,"Gl 624.1A","14Eta Dra","Athebyne",16.39986,61.514213,28.2326,-16.98,56.68,2.73,"G8III",0.91,"Eta",,"Dra","north",28.485787000000002
"Dra",1,12,78527,144284,5986,"Gl 609.1","13The Dra","",16.031532,58.565251,21.0349,-320.07,334.96,4.01,"F8IV-V",0.528,"The",,"Dra","north",31.434748999999996
"Dra",1,13,75458,137759,5744,"","12Iot Dra","Edasich",15.415494,58.966065,31.027,-8.27,17.3,3.29,"K2III",1.166,"Iot",,"Dra","north",31.033935
"Dra",1,14,68756,123299,5291,"","11Alp Dra","Thuban",14.073165,64.37585,92.9368,-56.52,17.19,3.67,"A0III SB",-0.049,"Alp",,"Dra","north",25.62415
"Dra",1,15,61281,109387,4787,"","5Kap Dra","",12.558058,69.788238,150.3759,-58.14,11.42,3.85,"B6IIIp",-0.116,"Kap",,"Dra","north",20.211761999999993
"Dra",1,16,56211,100029,4434,"","1Lam Dra","Giausar",11.523407,69.331076,102.145,-41.14,-18.79,3.82,"M0IIIvar",1.613,"Lam",,"Dra","north",20.668924000000004
"Dra",1,17,47193,81817,3751,"","","",9.618151,81.326382,304.878,-16.77,-15.95,4.28,"K3III",1.488,"",,"Dra","north",8.673618000000005
"Equ",1,1,104987,202447,8131,"","8Alp Equ","Kitalpha",21.263731,5.247845,58.3431,59.63,-94.33,3.92,"G0III+...",0.549,"Alp",,"Equ","north",84.752155
"Equ",1,2,105570,203562,8178,"","10Bet Equ","",21.381559,6.81114,101.4199,52.66,11.15,5.16,"A3V",0.064,"Bet",,"Equ","north",83.18886
"Equ",1,3,104858,202275,8123,"Gl 822A","7Del Equ","",21.241337,10.006981,18.4877,42.32,-303.43,4.47,"F5V+...",0.529,"Del",,"Equ","north",79.993019
"Equ",1,4,104521,201601,8097,"","5Gam Equ","",21.172361,10.131579,36.2976,49.07,-151.85,4.7,"F0p",0.262,"Gam",,"Equ","north",79.868421
"Eri",1,1,23875,33111,1666,"GJ 9175","67Bet Eri","Cursa",5.130829,-5.086446,27.3973,-83.39,-75.44,2.78,"A3IIIvar",0.161,"Bet",,"Eri","south",84.913554
